Dauerzaehlstellennummer;Dauerzaehlstellenname;Landesnummer;Landeskuerzel;Straßenklasse;Straßennummer;Straßennumernzusatz;Nahziel_Richtung_1;Himmelsrichtung_Richtung_1;Nahziel_Richtung_2;Himmelsrichtung_Richtung_2;Koordinaten_UTM32_E;Koordinaten_UTM32_N
1101;Bad Oldesloe;1;SH;A;1;;AS Reinfeld;N;AS Bad Oldesloe;S;594121,056;5961309,270
1102;Barsbüttel;1;SH;A;1;;AS Barsbüttel;N;AK Kreuz Hamburg-Ost (A24);S;578184,972;5935581,358
1104;Rumohr;1;SH;A;215;;AK Kreuz Kiel-West (A210);N;AS Blumenthal;S;566924,124;6011849,671
1105;Neustadt i. H.-Süd;1;SH;A;1;;AS Neustadt i.H.-Pelzerhaken;N;AS Neustadt i.H.-Mitte;S;616449,017;5996536,140
1106;Einfeld;1;SH;A;7;;AD Dreieck Bordesholm (A215);N;AS Neumünster-Nord;S;562466,500;5998018,883
1107;Owschlag;1;SH;A;7;;AS Owschlag;N;AS Rendsburg/Büdelsdorf;S;541658,159;6028166,846
1108;Bad Schwartau;1;SH;A;1;;AS Bad Schwartau;N;AS Lübeck-Zentrum;S;609762,070;5972762,429
1109;Ellund;1;SH;A;7;;AS GÜG Ellund;N;AS Flensburg/Harrislee;S;522137,411;6069898,776
1110;Gudow;1;SH;A;24;;AS Zarrentin;O;AS Hornbek;W;615433,500;5933199,000
1119;Krupunder;1;SH;A;23;;AS Halstenbek-Krupunder;N;AS Hamburg-Eidelstedt;S;558301,454;5942310,101
1124;Oldenburg (Holstein);1;SH;A;1;;AS Oldenburg i.H.-Nord;N;AS Oldenburg i.H.-Mitte;S;622474,230;6018516,918
1140;Börnsen;1;SH;A;25;;AS Anschluss (B404);O;AS Hamburg-Curslack;W;585568,268;5924291,408
1154;Nordoe 4;1;SH;A;23;;AS Itzehoe-Süd;N;AS Lägerdorf;S;534150,251;5971824,376
1156;AS Wankendorf (Stolpe);1;SH;A;21;;AS Wankendorf;N;AS Bornhöved;S;579303,143;5995614,943
1162;Melsdorf;1;SH;A;210;;AS Melsdorf;O;AS Achterwehr;W;567008,394;6018106,835
1163;Besdorf;1;SH;A;23;;AS Schafstedt;N;AS Hanerau-Hademarschen;S;521971,218;5990901,502
1166;Segeberg West 2;1;SH;A;21;;AS Wahlstedt;N;AS Bad Segeberg-Nord;S;583846,650;5977187,177
1170;Neddelsteenhof;1;SH;A;20;;AS Lübeck-Genin;O;AK Kreuz Lübeck (A1);W;605644,082;5967363,070
1171;Hüsby;1;SH;A;7;;AS Schleswig/Schuby;N;AS Schleswig/Jagel;S;532621,182;6039904,455
1172;Glinde (SH);1;SH;A;24;;AS Reinbek;O;AK Kreuz Hamburg-Ost (A1);W;580626,661;5935008,824
1173;Moorkaten;1;SH;A;7;;AS Kaltenkirchen;N;AS Henstedt-Ulzburg;S;560770,451;5964033,871
1177;Heide West;1;SH;A;23;;AS Anschluss (B5);N;AS Heide-West;S;502967,127;6004941,628
