Dauerzaehlstellennummer;Dauerzaehlstellenname;Landesnummer;Landeskuerzel;Straßenklasse;Straßennummer;Straßennumernzusatz;Nahziel_Richtung_1;Himmelsrichtung_Richtung_1;Nahziel_Richtung_2;Himmelsrichtung_Richtung_2;Koordinaten_UTM32_E;Koordinaten_UTM32_N
1111;Kiel-Holtenau I;1;SH;B;503;; Kiel-Holtenau, K22;N; Kiel-Wik, K15;S;572866,000;6025081,500
1112;Kiel-Holtenau 2;1;SH;B;503;; Kiel-Wik, K15;N; Kiel-Projensdorf, K10;S;572892,000;6024287,000
1113;Flensburg Süd 1;1;SH;B;200;; AS Krusau;N; Flensburg;S;527436,500;6068674,000
1116;Gettorf ( Wulfshagen );1;SH;B;76;; Kiel;O; Gettorf;W;566276,000;6027658,500
1117;Friedrichsgabekoog;1;SH;B;203;; Heide;O; Büsum;W;496146,817;6000787,271
1118;Norderstedt;1;SH;B;432;; Kayhude;O; Ochsenzoll;W;570521,548;5951634,590
1120;Brunsbüttel Hochbr.;1;SH;B;5;; Büttel / IZ;O; Brunsbüttel;W;511691,106;5974983,655
1125;Süderholm;1;SH;B;203;; Rendsburg;O; Heide;W;509435,386;6005533,102
1127;Gottrupel;1;SH;B;199;; Handewitt;O; Schafflund;W;520589,520;6070112,577
1131;Fehmarnsundbrücke;1;SH;B;207;; Burg a. F.;N; Großenbrode;S;638146,911;6032703,698
1132;Husum-Süd;1;SH;B;5;; Tönning;O; Husum;W;502865,606;6032249,686
1133;Böglum;1;SH;B;5;; Süderlügum;O; Tondern;W;494139,354;6082376,332
1134;Wassersleben;1;SH;B;200;; Krusau;N; AS Flensburg;S;526618,173;6075615,722
1135;Raisdorf 1;1;SH;B;76;; Preetz;O; Elmschenhagen;W;580868,500;6015643,000
1136;Raisdorf II;1;SH;B;202;; Lütjenburg;O; Kiel;W;581298,537;6015374,886
1138;Neubörnsen;1;SH;B;207;; Schwarzenbek;N; Wentorf;S;586146,783;5927254,306
1141;Flensburg Süd 3/Osttang.;1;SH;B;199;; Dänemark;O; Husum;W;528202,000;6067871,000
1144;Elsensee;1;SH;B;4;; Quickborn;N; Hasloh;S;559656,071;5952769,422
1145;Schmabek;1;SH;B;206;; Kellinghusen;O; Itzehoe;W;536435,061;5976888,739
1146;Blauer Lappen;1;SH;B;77;; Jahrsdorf;N; Itzehoe;S;536310,675;5978297,602
1148;Hohenwestedt I;1;SH;B;77;; Rendsburg;N; Itzehoe;S;542596,625;5992458,632
1149;Röbel;1;SH;B;76;; Süsel;O; Eutin;W;608755,227;5996651,639
1150;Flensburg-Ost / Engelsby;1;SH;B;199;; Langballig;O; Flensburg;W;531626,588;6073026,587
1151;Untersteenrade;1;SH;B;432;; Pönitz;O; Ahrensbök;W;608398,726;5989480,792
1152;Bredstedt;1;SH;B;5;; Bredtstedt;O; Mönkebüll;W;497120,702;6053630,270
1157;Flensburg Süd 4;1;SH;B;200;; Richtung  A7;N; Jarplund-Weding;S;527592,500;6067336,500
1158;Kiel/Schönkirchen;1;SH;B;502;; Mönkeberg;O; Kiel;W;578341,801;6021275,735
1160;Mustin;1;SH;B;208;; Roggendorf;O; Ziethen;W;624461,179;5951052,348
